Smile,id
C[C@@](O)(CC(=O)O)CC(=O)OC[C@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@@H](O)[C@@H]1O,LTS0248006
COC(=O)C(C)=CCC[C@@H](C)[C@H]1[C@@H](OC(C)=O)C[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)C=CC(=O)C(C)(C)[C@@H]1CC3,LTS0118489
C/C=C/SSCCC,LTS0108602
CN1C[C@H](c2cn(C)cn2)[C@@H]([C@H](O)c2ccccc2)C1=O,LTS0047216
CC(=O)O[C@H]1C[C@H](OC(C)=O)[C@@]2(C)[C@@H](OC(C)=O)[C@H](OC(C)=O)C3=C(C)[C@@H](O)C[C@@](O)([C@@H](OC(C)=O)[C@@H]2[C@]12CO2)C3(C)C,LTS0039343
CC=C(C)C=C(C)C=C(C)C=CC=CC=Cc1oc(=O)cc(OC)c1C,LTS0256783
COC(=O)[C@]12CC[C@@H](C)[C@H](C)[C@H]1C1=CC[C@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,LTS0017624
COC(=O)[C@@]12C(=O)C(C)=C(O)[C@]1(C)C(C)=C[C@H]1[C@]2(C)C[C@@H]2OC(=O)[C@]13CC[C@H](OC(C)=O)C(C)(C)C23,LTS0255633
CCCCCCCCCCC/C=C\CCCC/C=C/C=C/C(O)=N[C@@H](C)CC,LTS0267898
CC[C@]12CCCN3CCc4c(n(c5ccccc45)C[C@@H]1c1ccc4c(c1)[C@]15CCN6CCC[C@](CC)(CC[C@H]1N4)[C@@H]65)[C@H]32,LTS0125850
O=c1c2cc(O)c(OC3OC(CO)C(O)C(O)C3O)cc2oc2cc(O)cc(O)c12,LTS0260166
CC(=O)O[C@@H]1[C@@H](O)[C@H]2[C@@H](C[C@H](O)[C@@]3(O)C[C@@H](O)C[C@H](O)[C@]23C)[C@@H]2CC[C@H]([C@H](C)[C@H]3C[C@@]3(C)[C@@H](C)C(C)C)[C@]21C,LTS0254859
C=C1C[C@H](OC(=O)[C@]2(C)CO2)[C@H]2C(=C)C(=O)O[C@@H]2[C@@H]2[C@H]1C[C@H](OC(C)=O)[C@]21CO1,LTS0047014
